GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository HTTP API Module,org.fcrepo.http.api.services,EtagService,0,123,0,8,0,27,0,8,0,4
Fedora Repository HTTP API Module,org.fcrepo.http.api.services,SparqlTranslateVisitor,32,351,5,19,12,86,5,26,1,18
Fedora Repository HTTP API Module,org.fcrepo.http.api.services,HttpRdfService,29,305,6,34,6,73,4,26,0,10
Fedora Repository HTTP API Module,org.fcrepo.http.api.url,HttpApiResources,0,63,0,6,0,15,0,7,0,4
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraHttpConfiguration,0,6,0,0,0,2,0,2,0,2
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraBaseResource,2,102,1,5,0,28,1,12,0,10
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraLdp,116,1358,25,155,26,278,24,97,1,30
Fedora Repository HTTP API Module,org.fcrepo.http.api,ContentExposingResource,115,1410,45,153,28,312,38,107,2,44
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraReindex,0,100,0,2,0,24,0,9,0,8
Fedora Repository HTTP API Module,org.fcrepo.http.api,ExternalContentPathValidator,58,241,15,27,14,46,14,16,0,9
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraVersioning,33,290,2,12,8,59,3,16,1,11
Fedora Repository HTTP API Module,org.fcrepo.http.api,Transactions,55,159,0,0,25,46,0,7,0,7
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraAcl,91,422,10,20,20,95,10,16,0,11
Fedora Repository HTTP API Module,org.fcrepo.http.api,ExternalContentHandlerFactory,19,81,4,6,4,24,4,7,0,6
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraTombstones,22,79,0,2,7,20,3,10,3,9
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraSearch,21,225,2,26,6,52,2,19,0,7
Fedora Repository HTTP API Module,org.fcrepo.http.api,ExternalContentHandler,41,226,10,22,9,60,10,19,2,11
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraFixity,21,97,1,1,5,20,3,10,2,10
Fedora Repository HTTP API Module,org.fcrepo.http.api.responses,SearchResultProvider,133,66,2,0,27,18,7,4,6,4
Fedora Repository HTTP API Module,org.fcrepo.http.api.responses,StreamingBaseHtmlProvider,43,518,15,23,6,97,17,19,2,15
